trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04
-0.00249821,0.0266366,0.00228345,-0.00014962,-0.000174627,3.30872e-24,0.00872699,-0.0065084,-0.02550225,-0.0001004797,0.000177999,-0.000247696,6.2410532e-06,0.00070950846,5.2141439e-06,2.2386144e-08,3.0494589e-08,1.0947628e-47,7.6160354e-05,4.2359271e-05,0.00065036476,1.009617e-08,3.1683644e-08,6.1353308e-08,0.013221658,-0.024548466,0.0057924279,-0.091896377,0.036160587
-0.0112294,0.037261,0.033307,0.00018653,-0.000224109,0,-0.00873119,0.0106244,0.03102355,0.00033615,-4.9482e-05,-3.30872e-24,0.00012609942,0.0013883821,0.0011093562,3.4793441e-08,5.0224844e-08,0,7.6233679e-05,0.00011287788,0.00096246065,1.1299682e-07,2.4484683e-09,1.0947628e-47,-0.013590895,-0.0083807237,-0.0018889701,-0.038429596,0.022996197
0.00711087,0.028963,0.00223763,0.000509209,-0.000148176,0.000316006,0.01834027,-0.008298,-0.03106937,0.000322679,7.5933e-05,0.000316006,5.0564472e-05,0.00083885537,5.006988e-06,2.5929381e-07,2.1956127e-08,9.9859792e-08,0.0003363655,6.8856804e-05,0.00096530575,1.0412174e-07,5.7658205e-09,9.9859792e-08,0.044563654,-0.040631898,0.0055435843,-0.055840935,0.076209465
-0.000664641,0.0626966,0.0494708,-8.43971e-05,-0.000224109,0.000286701,-0.007775511,0.0337336,0.04723317,-0.0005936061,-7.5933e-05,-2.9305e-05,4.4174766e-07,0.0039308637,0.0024473601,7.1228705e-09,5.0224844e-08,8.2197463e-08,6.0458571e-05,0.0011379558,0.0022309723,3.523682e-07,5.7658205e-09,8.5878303e-10,0.0079828241,0.0279286,-0.031469549,-0.0029251999,0.023043044
0.0027803,0.0257173,0.00231456,0.000249269,-0.000224109,0.0003109,0.003444941,-0.0369793,-0.04715624,0.0003336661,0,2.4199e-05,7.7300681e-06,0.00066137952,5.357188e-06,6.2135034e-08,5.0224844e-08,9.665881e-08,1.1867618e-05,0.0013674686,0.002223711,1.1133307e-07,0,5.855916e-10,0.011777549,-0.021220965,0.026177985,-0.076400101,-0.020966379
0.00221125,0.0362616,0.0443383,0.0002892,-0.000224109,0.000206705,-0.00056905,0.0105443,0.04202374,3.9931e-05,0,-0.000104195,4.8896266e-06,0.0013149036,0.0019658848,8.363664e-08,5.0224844e-08,4.2726957e-08,3.238179e-07,0.00011118226,0.0017659947,1.5944848e-09,0,1.0856598e-08,0.013527634,-0.012362396,-0.0048261595,-0.055604788,-0.01997098
0.0232781,0.0248103,0.00572152,0.000242702,-0.000299876,0.000346887,0.02106685,-0.0114513,-0.03861678,-4.6498e-05,-7.5767e-05,0.000140182,0.00054186994,0.00061555099,3.2735791e-05,5.8904261e-08,8.9925615e-08,1.2033059e-07,0.00044381217,0.00013113227,0.0014912557,2.162064e-09,5.7406383e-09,1.9650993e-08,0.032243545,-0.034787323,0.03496225,-0.047941667,-0.0044426915
0.0205434,0.03622,0.042566,6.87451e-05,-0.000134834,0.000358563,-0.0027347,0.0114097,0.03684448,-0.0001739569,0.000165042,1.1676e-05,0.00042203128,0.0013118884,0.0018118644,4.7258888e-09,1.8180208e-08,1.2856742e-07,7.4785841e-06,0.00013018125,0.0013575157,3.0261003e-08,2.7238862e-08,1.3632898e-10,0.041707861,0.0055195096,-0.019650847,0.013913121,0.02622083
0.0253671,0.0156131,-0.00802876,-0.000527036,8.28957e-05,0.000329513,0.0048237,-0.0206069,-0.05059476,-0.0005957811,0.0002177297,-2.905e-05,0.00064348976,0.00024376889,6.4460987e-05,2.7776695e-07,6.8716971e-09,1.0857882e-07,2.3268082e-05,0.00042464433,0.0025598297,3.5495512e-07,4.7406222e-08,8.439025e-10,0.073282191,0.0044503555,0.0007363967,0.022807104,0.034337972
0.00718299,0.0880841,0.0141013,-0.00113308,4.61645e-05,-6.37473e-05,-0.01818411,0.072471,0.02213006,-0.000606044,-3.67312e-05,-0.0003932603,5.1595345e-05,0.0077588087,0.00019884666,1.2838703e-06,2.1311611e-09,4.0637183e-09,0.00033066186,0.0052520458,0.00048973956,3.6728933e-07,1.3491811e-09,1.5465366e-07,0.037446952,0.036056251,-0.035953954,0.014619429,-0.0046265932
0.00261751,0.014379,-0.00192857,-0.000252458,4.61645e-05,0,-0.00456548,-0.0737051,-0.01602987,0.000880622,0,6.37473e-05,6.8513586e-06,0.00020675564,3.7193822e-06,6.3735042e-08,2.1311611e-09,0,2.0843608e-05,0.0054324418,0.00025695673,7.7549511e-07,0,4.0637183e-09,0.0061355158,-0.012088793,0.067383768,-0.076980718,-0.033051416
-0.0169594,0.0977004,0.0413951,-0.000723744,-0.000204372,-0.000412801,-0.01957691,0.0833214,0.04332367,-0.000471286,-0.0002505365,-0.000412801,0.00028762125,0.0095453682,0.0017135543,5.2380538e-07,4.1767914e-08,1.7040467e-07,0.00038325541,0.0069424557,0.0018769404,2.2211049e-07,6.2768538e-08,1.7040467e-07,-0.059961457,0.0068895155,-0.0090387384,-0.013338295,-0.051173224
-0.00400713,-0.0240476,0.0231159,0.000337804,-0.000239023,-2.64698e-23,0.01295227,-0.121748,-0.0182792,0.001061548,-3.4651e-05,0.000412801,1.6057091e-05,0.00057828707,0.00053434483,1.1411154e-07,5.7131995e-08,7.0065031e-46,0.0001677613,0.014822576,0.00033412915,1.1268842e-06,1.2006918e-09,1.7040467e-07,-0.045720727,-0.050221876,0.057653204,-0.068529244,-0.0004985983
-0.00793702,0.0839071,0.0768584,-0.000437209,-0.000139396,0,-0.00392989,0.1079547,0.0537425,-0.000775013,9.9627e-05,2.64698e-23,6.2996286e-05,0.0070404014,0.0059072137,1.9115171e-07,1.9431245e-08,0,1.5444035e-05,0.011654217,0.0028882563,6.0064515e-07,9.9255391e-09,7.0065031e-46,-0.056481958,-0.03579676,-0.042397688,0.021782853,0.032141057
-0.0025285,-0.0406848,0.0785885,-0.000383784,4.61645e-05,-3.30872e-24,0.00540852,-0.1245919,0.0017301,5.3425e-05,0.0001855605,-3.30872e-24,6.3933122e-06,0.001655253,0.0061761523,1.4729016e-07,2.1311611e-09,1.0947628e-47,2.9252089e-05,0.015523142,2.993246e-06,2.8542306e-09,3.4432699e-08,1.0947628e-47,0.039235382,-0.043707327,-0.0074145934,-0.02388491,0.043431209
-0.00948156,0.12831,0.0912124,-0.000371175,-0.000288492,1.32349e-23,-0.00695306,0.1689948,0.0126239,1.2609e-05,-0.0003346565,1.654362e-23,8.989998e-05,0.016463456,0.0083197019,1.3777088e-07,8.3227634e-08,1.7516258e-46,4.8345043e-05,0.028559242,0.00015936285,1.5898688e-10,1.1199497e-07,2.7369136e-46,0.034475132,0.024771704,-0.082463202,0.048081847,-0.014236791
-0.000235707,-0.0142858,0.0682176,0.00043942,0.000246714,0.00038128,0.009245853,-0.1425958,-0.0229948,0.000810595,0.000535206,0.00038128,5.555779e-08,0.00020408408,0.0046536409,1.9308994e-07,6.0867798e-08,1.4537444e-07,8.5485798e-05,0.020333562,0.00052876083,6.5706425e-07,2.8644546e-07,1.4537444e-07,0.040777944,0.057549162,-0.0075788306,0.021948322,-0.070417725
