trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04
-0.0200905,-0.00461129,-0.0633546,-0.000183039,-1.94929e-05,-0.000419508,-0.0161594,-0.08473879,0.0164913,-0.001789219,1.48224e-05,0,0.00040362819,2.1263995e-05,0.0040138053,3.3503276e-08,3.7997315e-10,1.7598696e-07,0.00026112621,0.0071806625,0.00027196298,3.2013046e-06,2.1970354e-10,0,-0.016975317,-0.065947672,-0.092247607,-0.017881316,0.032775271
-0.0384249,-0.0501365,-0.0865924,0.000145902,0.000363225,-0.000419509,-0.0183344,-0.04552521,-0.0232378,0.000328941,0.0003827179,-1e-09,0.0014764729,0.0025136686,0.0074982437,2.1287394e-08,1.319324e-07,1.759878e-07,0.00033615022,0.0020725447,0.00053999535,1.0820218e-07,1.4647299e-07,1e-18,-0.055753087,-0.057439518,-0.061608896,-0.09357073,-0.028271296
-0.024317,0.0261561,-0.0686457,0.000316463,-0.000383794,-0.000272093,0.0141079,0.0762926,0.0179467,0.000170561,-0.000747019,0.000147416,0.00059131649,0.00068414157,0.0047122321,1.0014883e-07,1.4729783e-07,7.4034601e-08,0.00019903284,0.0058205608,0.00032208404,2.9091055e-08,5.5803739e-07,2.1731477e-08,-0.053235137,-0.01507641,0.086411624,-0.026788749,-0.10842295
-0.00342592,-0.0761803,-0.0865728,0.000421032,0.000504528,3.89019e-05,0.02089108,-0.1023364,-0.0179271,0.000104569,0.000888322,0.0003109949,1.1736928e-05,0.0058034381,0.0074948497,1.7726795e-07,2.545485e-07,1.5133578e-09,0.00043643722,0.010472739,0.00032138091,1.0934676e-08,7.8911598e-07,9.6717828e-08,0.020116278,-0.070700289,-0.10559241,0.016779762,0.018104669
-0.0253566,-0.016668,0.0338297,-0.00220525,6.56402e-05,-0.000419509,-0.02193068,0.0595123,0.1204025,-0.002626282,-0.0004388878,-0.0004584109,0.00064295716,0.00027782222,0.0011444486,4.8631276e-06,4.3086359e-09,1.759878e-07,0.00048095473,0.0035417139,0.014496762,6.8973571e-06,1.926225e-07,2.1014055e-07,0.11788427,0.048516252,0.0029149064,-0.1098951,-0.020973335
-0.00787461,-0.0166533,-0.0310866,-0.0015768,-0.00024425,0.000358604,0.01748199,1.47e-05,-0.0649163,0.00062845,-0.0003098902,0.000778113,6.2009483e-05,0.0002773324,0.0009663767,2.4862982e-06,5.9658063e-08,1.2859683e-07,0.00030561997,2.1609e-10,0.004214126,3.949494e-07,9.6031936e-08,6.0545984e-07,-0.078977938,-0.039442344,-0.0028515418,-0.083815596,0.043573838
-0.000824988,0.0180308,0.0351868,-0.000643029,9.13712e-05,0.000138658,0.007049622,0.0346841,0.0662734,0.000933771,0.0003356212,-0.000219946,6.806052e-07,0.00032510975,0.0012381109,4.1348629e-07,8.3486962e-09,1.9226041e-08,4.969717e-05,0.0012029868,0.0043921635,8.7192828e-07,1.1264159e-07,4.8376243e-08,-0.02176437,-0.1198106,0.028989743,0.011208982,0.0092798033
-0.00164591,-0.00649999,-0.0277906,-0.000234252,-0.000143144,8.36423e-05,-0.000820922,-0.02453079,-0.0629774,0.000408777,-0.0002345152,-5.50157e-05,2.7090197e-06,4.224987e-05,0.00077231745,5.4874e-08,2.0490205e-08,6.9960343e-09,6.7391293e-07,0.00060175966,0.0039661529,1.6709864e-07,5.4997379e-08,3.0267272e-09,-0.10264371,-0.056573544,0.086783519,-0.053806733,-0.027994717
-0.00776475,-0.0560946,-0.0222631,0.00160886,-0.000551212,-0.000419509,-0.00611884,-0.04959461,0.0055275,0.001843112,-0.000408068,-0.0005031513,6.0291343e-05,0.0031466041,0.00049564562,2.5884305e-06,3.0383467e-07,1.759878e-07,3.7440203e-05,0.0024596253,3.0553256e-05,3.3970618e-06,1.6651949e-07,2.5316123e-07,0.0011813643,-0.074440279,0.040064281,0.079100664,0.0066977047
0.00527009,-0.00569318,0.0142749,-4.98018e-05,-0.000211649,-0.000265055,0.01303484,0.05040142,0.036538,-0.0016586618,0.000339563,0.000154454,2.7773849e-05,3.2412299e-05,0.00020377277,2.4802193e-09,4.4795299e-08,7.0254153e-08,0.00016990705,0.0025403031,0.0013350254,2.751159e-06,1.1530303e-07,2.3856038e-08,0.052282679,-0.085662499,-0.064535303,0.0253787,-0.0019548086
